PC1,PC2,soc,cycle,battery
-0.8579097735114256,0.21946585604516247,60,2,B10
-1.0061317679182304,0.05944059994503687,65,2,B10
0.320650655990734,1.3514470523736644,70,2,B10
-0.6379435704509481,0.3857251265931616,75,2,B10
-0.39965253120007566,0.6891446736084301,80,2,B10
-1.355927497001707,-0.3006567601369267,85,2,B10
-0.9417318434266285,0.07985966562850937,90,2,B10
-1.426505907163505,-0.4325537231120973,95,2,B10
-0.9448971498441895,2.3149766337571047,100,1,B11
-1.4530406915191711,0.3831940458263607,10,1,B11
-1.573484942989137,0.30172665294306933,15,1,B11
-1.2463948955878879,0.6971906488132916,20,1,B11
-1.4452541660506568,0.477917133044175,25,1,B11
-1.3528321792332243,0.634872406032382,30,1,B11
-1.6843733262687395,0.27255954329366266,35,1,B11
-1.5086242258094533,0.3888659697722346,40,1,B11
-1.7282589504103514,0.02242115741852209,45,1,B11
-0.6766721544353262,1.1405473245182514,50,1,B11
-1.0811454913313407,0.6867586274337922,55,1,B11
-1.4725506082886837,0.3195753474900257,5,1,B11
-1.145479641405993,0.6708443814781216,60,1,B11
-1.451362775831597,0.4860345826742438,65,1,B11
-0.7151759912548543,1.1916214536741452,70,1,B11
-1.5193211600307723,0.38229028846145857,75,1,B11
-1.0602562210137558,0.8735372224571804,80,1,B11
-1.3289405709864084,0.6685490371015627,85,1,B11
-1.338273159206426,0.5568335832569277,90,1,B11
-1.5515131954049843,0.34696044895464084,95,1,B11
-2.3277527064009025,0.23907238763148808,100,2,B11
-1.3263447724451862,0.05095072226206736,10,2,B11
-1.5691166688674791,-0.21904864731511192,15,2,B11
-1.3115677669879882,0.1353323375316558,20,2,B11
-1.4541799358002703,0.010081169168385369,25,2,B11
-1.3907175745931721,0.08703053211210438,30,2,B11
-1.720136911296366,-0.2624929322286863,35,2,B11
-1.5469694672878693,-0.1307900651363948,40,2,B11
-1.1293637371165062,0.49418734133891734,45,2,B11
-1.6660032948116832,-0.2440386646762055,50,2,B11
-1.7405246294364984,-0.3188084185166899,55,2,B11
-1.76305782621071,-0.46671417182596836,5,2,B11
-1.909682112864086,-0.3792676192732187,60,2,B11
-1.9985575073332482,-0.5280185933348073,65,2,B11
-2.119373578058389,-0.49927065465534776,70,2,B11
-1.982098305631248,-0.4016417456774969,75,2,B11
-1.963519627839792,-0.4196548767548804,80,2,B11
-2.1143190651855153,-0.5226434295054052,85,2,B11
-2.233978119036444,-0.730131497311637,90,2,B11
-1.8766089582537187,-0.2968734435529703,95,2,B11
